Population,Day,objective,district task cost,district task cost collecting,district task cost sending,district 1 cost,d1 cost collecting,d1 cost sending,district 2 cost,d2 cost collecting,d2 cost sending,district 3 cost,d3 cost collecting,d3 cost sending,district 4 cost,d4 cost collecting,d4 cost sending,transfer taks cost,transshipment center 1 cost,transshipment center 2 cost,major customer task cost,
3,9,446500,243900,107900,136000,54000,12000,42000,43200,21450,21750,93300,52050,41250,53400,22400,31000,184000,64000,120000,18600,
3,10,471150,270150,140550,129600,60000,30000,30000,49800,21600,28200,84150,49350,34800,76200,39600,36600,170000,80000,90000,31000,
3,11,469300,253500,111350,142150,57000,24000,33000,43500,17400,26100,101400,55950,45450,51600,14000,37600,191000,56000,135000,24800,
3,12,509750,278950,115750,163200,65600,24000,41600,46350,21600,24750,116400,47550,68850,50600,22600,28000,206000,56000,150000,24800,
3,13,560400,280800,134050,146750,54000,27000,27000,39000,12900,26100,104400,56550,47850,83400,37600,45800,261000,96000,165000,18600,
3,14,589800,375000,147000,228000,92300,26600,65700,62250,21750,40500,108450,51450,57000,112000,47200,64800,190000,40000,150000,24800,
3,15,565335,317735,139550,178185,58535,18000,40535,54150,19500,34650,124650,71250,53400,80400,30800,49600,229000,64000,165000,18600,
3,16,408555,276755,131285,145470,53005,28535,24470,60450,25950,34500,102900,50400,52500,60400,26400,34000,107000,32000,75000,24800,
3,17,483000,274200,121400,152800,63000,27000,36000,60300,23850,36450,94500,45150,49350,56400,25400,31000,184000,64000,120000,24800,
3,18,491050,272650,122000,150650,63000,27000,36000,45150,17400,27750,78300,34800,43500,86200,42800,43400,206000,56000,150000,12400,
3,19,422250,249650,104250,145400,54000,24000,30000,39000,17250,21750,82050,34800,47250,74600,28200,46400,154000,64000,90000,18600,
3,20,544800,305000,139100,165900,55300,24000,31300,56400,23850,32550,120900,60450,60450,72400,30800,41600,215000,80000,135000,24800,
3,21,518100,284500,133350,151150,72000,30000,42000,32400,21600,10800,123900,56550,67350,56200,25200,31000,215000,80000,135000,18600,
3,22,510750,276150,129700,146450,63000,21000,42000,47700,23850,23850,82650,30450,52200,82800,54400,28400,216000,96000,120000,18600,
3,23,495085,295285,132150,163135,50835,25300,25535,48600,20400,28200,95850,47250,48600,100000,39200,60800,175000,40000,135000,24800,
3,24,514800,283000,130350,152650,62600,21000,41600,47700,21750,25950,99900,45600,54300,72800,42000,30800,207000,72000,135000,24800,
3,25,603050,317450,136400,181050,78000,33000,45000,67200,28200,39000,93450,34800,58650,78800,40400,38400,267000,72000,195000,18600,
3,26,448850,253250,138100,115150,48000,24000,24000,43500,17400,26100,114150,60300,53850,47600,36400,11200,177000,72000,105000,18600,
3,27,563700,293900,130750,163150,63000,27000,36000,54300,23850,30450,91200,36900,54300,85400,43000,42400,245000,80000,165000,24800,
3,28,486900,261300,119200,142100,60000,9000,51000,47700,21750,25950,73800,52050,21750,79800,36400,43400,207000,72000,135000,18600,
3,29,478335,277535,119600,157935,54235,24000,30235,47850,13050,34800,88050,43350,44700,87400,39200,48200,176000,56000,120000,24800,
3,30,492500,268700,112950,155750,45000,24000,21000,71550,25950,45600,90150,34800,55350,62000,28200,33800,199000,64000,135000,24800,
4,0,469805,245005,101055,143950,48705,27705,21000,45600,13050,32550,71700,26100,45600,79000,34200,44800,200000,80000,120000,24800,
4,1,457850,291450,120950,170500,41600,21000,20600,58650,21750,36900,100200,47400,52800,91000,30800,60200,154000,64000,90000,12400,
4,2,420600,243600,100550,143050,45000,18000,27000,48600,23850,24750,66600,36300,30300,83400,22400,61000,146000,56000,90000,31000,
4,3,409450,229850,96100,133750,63000,18000,45000,67350,23850,43500,68700,43050,25650,30800,11200,19600,161000,56000,105000,18600,
4,4,465450,254850,108900,145950,60000,21000,39000,47700,21600,26100,49950,26100,23850,97200,40200,57000,192000,72000,120000,18600,
4,5,428720,264920,97500,167420,57470,12000,45470,43350,26100,17250,86700,42600,44100,77400,16800,60600,139000,64000,75000,24800,
4,6,392450,246650,81400,165250,52300,21000,31300,52950,19500,33450,61200,21300,39900,80200,19600,60600,121000,16000,105000,24800,
4,7,466500,258700,118400,140300,70300,40300,30000,33450,21750,11700,93150,36750,56400,61800,19600,42200,183000,48000,135000,24800,
4,8,545235,298435,127750,170685,72235,21000,51235,47700,19500,28200,89100,47850,41250,89400,39400,50000,222000,72000,150000,24800,
4,9,456750,293950,102150,191800,84100,21000,63100,38550,21750,16800,78300,34200,44100,93000,25200,67800,138000,48000,90000,24800,
4,10,504350,287550,111600,175950,60000,15000,45000,61650,23850,37800,94500,39150,55350,71400,33600,37800,192000,72000,120000,24800,
4,11,551420,289620,109335,180285,69470,15235,54235,49800,10800,39000,84750,60900,23850,85600,22400,63200,237000,72000,165000,24800,
4,12,482270,295670,118800,176870,52770,12000,40770,59700,28200,31500,78600,53400,25200,104600,25200,79400,168000,48000,120000,18600,
4,13,415350,243750,124250,119500,75000,33000,42000,49800,28200,21600,70950,40650,30300,48000,22400,25600,153000,48000,105000,18600,
4,14,439450,269650,118150,151500,75000,30000,45000,35550,19500,16050,63900,40650,23250,95200,28000,67200,145000,40000,105000,24800,
4,15,467285,264685,122200,142485,69235,27000,42235,39150,17400,21750,80100,49800,30300,76200,28000,48200,184000,64000,120000,18600,
4,16,483685,245885,100000,145885,54235,18000,36235,52800,30300,22500,65250,26100,39150,73600,25600,48000,213000,48000,165000,24800,
4,17,502585,299985,145635,154350,73535,30235,43300,52050,25950,26100,118200,55650,62550,56200,33800,22400,184000,64000,120000,18600,
4,18,438850,222250,104650,117600,42000,24000,18000,41100,21600,19500,73950,30450,43500,65200,28600,36600,198000,48000,150000,18600,
4,19,507150,288550,129600,158950,61300,27000,34300,58350,26100,32250,101700,36900,64800,67200,39600,27600,200000,80000,120000,18600,
4,20,517700,292900,123950,168950,62600,18000,44600,42000,17250,24750,95700,43500,52200,92600,45200,47400,200000,80000,120000,24800,
4,21,450585,261185,122450,138735,69235,18000,51235,45600,17400,28200,101550,64650,36900,44800,22400,22400,177000,72000,105000,12400,
