iteration, p, s, N1, X1, p(X>x1), N2, X1, p(X>x2), N3, X3, p(X>x3), pf = p(X>x1)*p(X>x2)*p(X>x3)
100, 3, 27, 498, 243, 0.688944, 164, 146, 0.000000, 18, 6, 0.881058, 0.000000
100, 3, 28, 469, 248, 0.097993, 140, 129, 0.000000, 13, 7, 0.290527, 0.000000
100, 3, 29, 508, 256, 0.412233, 158, 146, 0.000000, 16, 10, 0.105057, 0.000000
100, 3, 30, 565, 272, 0.799930, 139, 130, 0.000000, 15, 7, 0.500000, 0.000000
100, 3, 31, 532, 258, 0.742242, 114, 109, 0.000000, 8, 4, 0.363281, 0.000000
100, 3, 32, 537, 252, 0.916375, 175, 164, 0.000000, 14, 7, 0.395264, 0.000000
100, 3, 33, 504, 235, 0.929249, 149, 135, 0.000000, 14, 7, 0.395264, 0.000000
100, 3, 34, 494, 264, 0.057615, 150, 142, 0.000000, 14, 7, 0.395264, 0.000000
100, 3, 35, 153, 85, 0.072683, 27, 27, 0.000000, 7, 5, 0.062500, 0.000000
100, 3, 36, 497, 248, 0.500000, 120, 113, 0.000000, 15, 12, 0.003693, 0.000000
100, 3, 37, 577, 297, 0.226838, 128, 117, 0.000000, 14, 6, 0.604736, 0.000000
100, 3, 38, 532, 295, 0.005231, 140, 135, 0.000000, 18, 8, 0.592735, 0.000000
100, 3, 39, 536, 269, 0.448457, 155, 148, 0.000000, 14, 4, 0.910217, 0.000000
100, 3, 40, 451, 234, 0.198346, 139, 130, 0.000000, 25, 13, 0.345019, 0.000000
100, 3, 41, 568, 259, 0.980155, 146, 142, 0.000000, 14, 7, 0.395264, 0.000000
100, 3, 42, 497, 268, 0.036334, 138, 131, 0.000000, 14, 4, 0.910217, 0.000000
100, 3, 43, 499, 275, 0.009915, 150, 136, 0.000000, 17, 2, 0.998825, 0.000000
100, 3, 44, 566, 276, 0.707596, 136, 126, 0.000000, 10, 4, 0.623047, 0.000000
100, 3, 45, 500, 252, 0.411545, 130, 124, 0.000000, 14, 7, 0.395264, 0.000000
100, 3, 46, 518, 266, 0.254947, 119, 110, 0.000000, 17, 10, 0.166153, 0.000000
100, 3, 47, 583, 285, 0.690383, 127, 122, 0.000000, 16, 7, 0.598190, 0.000000
100, 3, 48, 558, 274, 0.648380, 134, 132, 0.000000, 15, 7, 0.500000, 0.000000
100, 3, 49, 489, 258, 0.102697, 167, 162, 0.000000, 18, 3, 0.996231, 0.000000
100, 4, 0, 389, 182, 0.888193, 109, 105, 0.000000, 10, 2, 0.945313, 0.000000
100, 4, 1, 602, 268, 0.995992, 150, 140, 0.000000, 15, 6, 0.696381, 0.000000
100, 4, 2, 575, 281, 0.691596, 151, 141, 0.000000, 14, 5, 0.788025, 0.000000
100, 4, 3, 589, 301, 0.282035, 192, 177, 0.000000, 11, 4, 0.725586, 0.000000
100, 4, 4, 519, 257, 0.569677, 153, 147, 0.000000, 14, 8, 0.211975, 0.000000
100, 4, 5, 582, 288, 0.582084, 132, 123, 0.000000, 16, 7, 0.598190, 0.000000
100, 4, 6, 560, 301, 0.034555, 137, 133, 0.000000, 13, 5, 0.709473, 0.000000
100, 4, 7, 631, 319, 0.375077, 141, 134, 0.000000, 14, 7, 0.395264, 0.000000
100, 4, 8, 593, 295, 0.532724, 155, 146, 0.000000, 14, 4, 0.910217, 0.000000
100, 4, 9, 578, 301, 0.149199, 161, 152, 0.000000, 8, 5, 0.144531, 0.000000
100, 4, 10, 598, 297, 0.548813, 150, 140, 0.000000, 15, 3, 0.982422, 0.000000
100, 4, 11, 526, 283, 0.036863, 110, 110, 0.000000, 15, 7, 0.500000, 0.000000
100, 4, 12, 570, 289, 0.353116, 131, 127, 0.000000, 10, 4, 0.623047, 0.000000
100, 4, 13, 575, 275, 0.841555, 170, 150, 0.000000, 14, 2, 0.993530, 0.000000
100, 4, 14, 588, 312, 0.063487, 136, 134, 0.000000, 12, 3, 0.927002, 0.000000
100, 4, 15, 580, 304, 0.114249, 185, 178, 0.000000, 6, 2, 0.656250, 0.000000
100, 4, 16, 553, 294, 0.062862, 137, 128, 0.000000, 18, 5, 0.951874, 0.000000
100, 4, 17, 535, 271, 0.364738, 138, 130, 0.000000, 9, 4, 0.500000, 0.000000
100, 4, 18, 623, 309, 0.563652, 163, 150, 0.000000, 15, 7, 0.500000, 0.000000
100, 4, 19, 614, 317, 0.198370, 145, 138, 0.000000, 11, 2, 0.967285, 0.000000
100, 4, 20, 579, 306, 0.078799, 144, 136, 0.000000, 12, 6, 0.387207, 0.000000
100, 4, 21, 634, 306, 0.797855, 147, 145, 0.000000, 9, 4, 0.500000, 0.000000
100, 4, 22, 605, 316, 0.127475, 158, 143, 0.000000, 11, 6, 0.274414, 0.000000
100, 4, 23, 517, 280, 0.026435, 161, 152, 0.000000, 14, 5, 0.788025, 0.000000
100, 4, 24, 522, 258, 0.586601, 173, 163, 0.000000, 12, 5, 0.612793, 0.000000
100, 4, 25, 608, 319, 0.104320, 144, 136, 0.000000, 13, 8, 0.133423, 0.000000
100, 4, 26, 587, 294, 0.467110, 191, 167, 0.000000, 11, 1, 0.994141, 0.000000
100, 4, 27, 551, 281, 0.304620, 176, 158, 0.000000, 16, 5, 0.894943, 0.000000
100, 4, 28, 511, 269, 0.107718, 152, 139, 0.000000, 12, 5, 0.612793, 0.000000
100, 4, 29, 552, 286, 0.185717, 172, 156, 0.000000, 15, 10, 0.059235, 0.000000
100, 4, 30, 610, 286, 0.932978, 150, 140, 0.000000, 13, 4, 0.866577, 0.000000
100, 4, 31, 562, 281, 0.483179, 134, 128, 0.000000, 9, 4, 0.500000, 0.000000
100, 4, 32, 550, 249, 0.985218, 176, 165, 0.000000, 12, 5, 0.612793, 0.000000
100, 4, 33, 558, 269, 0.789386, 160, 148, 0.000000, 13, 7, 0.290527, 0.000000
100, 4, 34, 558, 302, 0.023265, 165, 154, 0.000000, 11, 5, 0.500000, 0.000000
100, 4, 35, 220, 143, 0.000003, 45, 45, 0.000000, 5, 4, 0.031250, 0.000000
100, 4, 36, 551, 288, 0.134001, 130, 122, 0.000000, 10, 6, 0.171875, 0.000000
100, 4, 37, 624, 329, 0.080562, 144, 133, 0.000000, 15, 6, 0.696381, 0.000000
100, 4, 38, 574, 328, 0.000260, 152, 145, 0.000000, 15, 5, 0.849121, 0.000000
100, 4, 39, 589, 277, 0.919413, 163, 151, 0.000000, 13, 3, 0.953857, 0.000000
100, 4, 40, 511, 265, 0.188155, 152, 143, 0.000000, 22, 11, 0.415906, 0.000000
100, 4, 41, 631, 294, 0.952776, 152, 147, 0.000000, 12, 6, 0.387207, 0.000000
100, 4, 42, 565, 311, 0.007306, 150, 139, 0.000000, 15, 4, 0.940765, 0.000000
100, 4, 43, 530, 291, 0.010619, 160, 140, 0.000000, 16, 2, 0.997910, 0.000000
100, 4, 44, 634, 316, 0.515838, 145, 135, 0.000000, 7, 2, 0.773438, 0.000000
100, 4, 45, 533, 277, 0.170317, 138, 132, 0.000000, 12, 5, 0.612793, 0.000000
100, 4, 46, 576, 291, 0.385286, 131, 121, 0.000000, 14, 9, 0.089783, 0.000000
100, 4, 47, 620, 300, 0.777273, 138, 133, 0.000000, 11, 6, 0.274414, 0.000000
100, 4, 48, 613, 295, 0.812876, 144, 141, 0.000000, 13, 7, 0.290527, 0.000000
100, 4, 49, 550, 276, 0.449114, 178, 172, 0.000000, 17, 6, 0.833847, 0.000000
100, 5, 0, 385, 176, 0.948603, 103, 100, 0.000000, 12, 4, 0.806152, 0.000000
100, 5, 1, 603, 270, 0.994243, 147, 138, 0.000000, 16, 6, 0.772751, 0.000000
100, 5, 2, 582, 291, 0.483470, 150, 140, 0.000000, 17, 6, 0.833847, 0.000000
